northing,easting,el,zone_letter,zone_number
460527.6539729233,7241975.170757812,880.65,J,22
460507.6180177472,7241979.790875826,880.57,J,22
460504.6125095697,7241980.227725157,878.25,J,22
460496.51796518744,7241981.698714472,877.46,J,22
460484.05367357616,7241990.090243999,876.68,J,22
460478.10468193213,7242001.748980445,875.92,J,22
460476.97259301116,7242006.96181083,878.39,J,22
460471.6923000893,7242012.691726352,878.36,J,22
460469.0511700002,7242021.77050676,879.18,J,22
460469.1188966609,7242027.6364918975,880.0,J,22
460465.5586153984,7242038.513196423,879.96,J,22
460463.6876629811,7242050.49924669,880.76,J,22
460463.19899858546,7242055.621115777,881.55,J,22
460461.83128687897,7242069.177153681,883.22,J,22
460461.0971804114,7242071.365425987,883.2,J,22
460462.31078287703,7242087.79682602,885.67,J,22
460463.6988298647,7242096.5530865025,885.61,J,22
460463.2149722874,7242114.687353449,885.56,J,22
460464.95132198225,7242122.980557838,885.43,J,22
460461.8466488265,7242122.581796978,885.49,J,22
460455.9612545145,7242109.209044228,885.51,J,22
460452.957192351,7242100.3274625465,885.45,J,22
460452.1472131764,7242099.480533136,885.44,J,22
460450.7978286797,7242094.928809431,885.43,J,22
460446.51681250025,7242082.795085815,885.38,J,22
460445.4845573944,7242073.919186234,882.71,J,22
460444.61128380493,7242068.607763274,881.95,J,22
460437.970543381,7242056.003173827,881.08,J,22
460437.21345823107,7242042.682325361,880.21,J,22
460436.7746009325,7242039.330507016,879.4,J,22
460437.6142209845,7242024.028060975,878.6,J,22
460437.5894295821,7242012.082965357,878.64,J,22
460433.1745311489,7242008.237052278,878.66,J,22
460429.9395285578,7242000.2179622175,878.71,J,22
460436.11436681706,7241983.622236542,878.66,J,22
460437.9540893624,7241979.534486852,878.66,J,22
460438.90287197323,7241967.462255985,877.79,J,22
460438.6337155608,7241963.953147167,877.9,J,22
460441.99973921204,7241952.94594657,875.53,J,22
460445.52786658326,7241944.41732209,873.97,J,22
460447.44818897423,7241938.789102812,873.13,J,22
460449.4783102342,7241936.168345332,873.14,J,22
460449.1757800597,7241935.434250744,872.39,J,22
460494.3953119228,7241942.980293597,869.04,J,22
460494.75575317006,7241944.178624319,869.04,J,22
460497.538116022,7241947.759933695,873.28,J,22
460498.2128751026,7241948.541505929,873.28,J,22
460500.1750690674,7241951.87913887,874.13,J,22
460502.91965442884,7241956.824700902,874.14,J,22
460511.1083384854,7241969.684309263,875.92,J,22
460517.6148723164,7241978.937925203,875.89,J,22
460527.26499774674,7241992.7113000015,876.67,J,22
460533.06677230616,7242002.79820705,878.44,J,22
460539.44746525155,7242008.738025024,879.25,J,22
460545.9871256908,7242012.3765368415,880.73,J,22
460548.18300918,7242022.740788628,880.75,J,22
460552.96074604744,7242035.794747737,881.52,J,22
460559.1868617832,7242048.416646782,882.4,J,22
460560.19389580115,7242051.371000117,882.39,J,22
460556.7336913621,7242053.9505345635,882.37,J,22
460544.45645645424,7242056.142749855,882.38,J,22
460531.7901543718,7242061.201747658,882.35,J,22
460524.5213467722,7242063.909538773,882.36,J,22
460508.9812979906,7242070.658726998,882.38,J,22
460508.34387703397,7242071.603591394,882.39,J,22
460502.8173511474,7242089.370657302,882.4,J,22
460491.8283296397,7242096.7733349735,882.39,J,22
460476.5733948622,7242110.289378395,882.37,J,22
460472.57554567186,7242114.4173226375,879.96,J,22
460462.28915259,7242124.671366505,878.99,J,22
460462.3397935416,7242124.717919468,879.0,J,22
460462.568605595,7242124.607195283,879.0,J,22
460462.9158985914,7242124.496823583,879.06,J,22
460463.33900088654,7242124.507321962,879.06,J,22
460463.53399658314,7242124.387232202,875.6,J,22
