northing,easting,elevation
460533.06677230616,7242002.79820705,878.44
460539.44746525155,7242008.738025024,879.25
460545.9871256908,7242012.3765368415,880.73
460548.18300918,7242022.740788627,880.75
460552.96074604744,7242035.794747737,881.52
460559.1868617832,7242048.416646782,882.4
460560.19389580115,7242051.371000118,882.39
460556.7336913621,7242053.9505345635,882.37
460544.45645645424,7242056.142749855,882.38
460531.7901543718,7242061.201747658,882.35
460524.5213467722,7242063.909538773,882.36
460508.9812979906,7242070.658726998,882.38
460508.34387703397,7242071.603591394,882.39
460502.8173511474,7242089.370657302,882.4
460491.8283296397,7242096.773334973,882.39
460476.5733948622,7242110.289378395,882.37
460472.57554567186,7242114.417322637,879.96
460462.28915259,7242124.671366505,878.99
460462.3397935416,7242124.717919468,879.0
460462.568605595,7242124.607195282,879.0
460462.9158985914,7242124.496823583,879.06
460463.33900088654,7242124.507321962,879.06
460463.5339965832,7242124.387232202,875.6
