timestamp,latitude,longitude,northing,easting,zone_letter,zone_number,elevation
2017-02-23 17:31:05,-24.936830056799998,-51.391256908,460498.017126535,7241990.074767921,J,22,875.91
2017-02-23 17:31:13,-24.9368710443,-51.3913123962,460492.4279531183,7241985.520119254,J,22,875.97
2017-02-23 17:31:18,-24.9368849583,-51.3913617656,460487.44792042376,7241983.9650775045,J,22,875.1
2017-02-23 17:31:24,-24.936915719899996,-51.3914181758,460481.76240391884,7241980.542463204,J,22,875.14
2017-02-23 17:31:43,-24.9369831942,-51.391582963999994,460465.1464712502,7241973.023148052,J,22,874.37
2017-02-23 17:32:01,-24.9369940069,-51.391677931000004,460455.56180230447,7241971.798232872,J,22,874.45
2017-02-23 17:32:20,-24.936951343,-51.3916975446,460453.5679444936,7241976.516669721,J,22,876.79
2017-02-23 17:32:36,-24.9369158037,-51.3917292282,460450.35773955396,7241980.442691373,J,22,878.38
2017-02-23 17:32:47,-24.9369014706,-51.3917725626,460445.9780057958,7241982.017173037,J,22,879.12
2017-02-23 17:32:51,-24.9369116127,-51.3918069284,460442.51157921087,7241980.884141849,J,22,879.13
2017-02-23 17:33:07,-24.936929214699997,-51.3919561263,460427.45377677097,7241978.891644929,J,22,881.61
2017-02-23 17:33:24,-24.9369836971,-51.3920931704,460413.63484163093,7241972.818930305,J,22,882.73
2017-02-23 17:33:39,-24.937052093400002,-51.3921996206,460402.9092050743,7241965.214439921,J,22,883.5
2017-02-23 17:33:43,-24.937069695399998,-51.3922314718,460399.69905088504,7241963.256100828,J,22,883.5
2017-02-23 17:33:58,-24.937136666799997,-51.392326606400005,460390.11542551604,7241955.812675861,J,22,883.51
2017-02-23 17:34:02,-24.9371566996,-51.3923572004,460387.03298255045,7241953.585539332,J,22,881.22
2017-02-23 17:34:17,-24.937211014299997,-51.39241260479999,460381.4565824169,7241947.555157082,J,22,881.29
2017-02-23 17:34:24,-24.937246805100003,-51.3924274407,460379.9701580143,7241943.587740315,J,22,880.4
2017-02-23 17:34:38,-24.937315369,-51.3924508262,460377.6310266485,7241935.988887082,J,22,880.45
2017-02-23 17:34:54,-24.9373170454,-51.3924522512,460377.48769134266,7241935.80284493,J,22,880.45
2017-02-23 17:37:39,-24.9372885469,-51.3905633055,460568.19106693164,7241939.50791854,J,22,878.72
2017-02-23 17:37:43,-24.9372742977,-51.3905782253,460566.68019329285,7241941.08139322,J,22,878.75
2017-02-23 17:37:48,-24.9372416083,-51.390605215,460563.9448438773,7241944.693235707,J,22,878.74
2017-02-23 17:37:51,-24.9372128583,-51.3906210568,460562.3362662918,7241947.872105971,J,22,878.72
2017-02-23 17:38:07,-24.937114873899997,-51.390736727,460550.62672200834,7241958.688276673,J,22,880.78
2017-02-23 17:38:21,-24.9370404426,-51.390835298199995,460540.6510198912,7241966.90138417,J,22,880.72
2017-02-23 17:38:26,-24.937011525,-51.3908807281,460536.05508889846,7241970.090217594,J,22,880.7
2017-02-23 17:38:35,-24.9369654246,-51.390963792799994,460527.6539729233,7241975.170757813,J,22,880.65
