latitude,longitude,elevation
-24.9368867185,-51.391870211800004,878.66
-24.936923682699998,-51.3918521069,878.66
-24.9370327312,-51.3918430544,877.79
-24.937064414800002,-51.3918458205,877.9
-24.937163908000002,-51.3918127958,875.53
-24.9372410215,-51.3917780947,873.97
-24.937291899699996,-51.3917592354,873.13
-24.9373156205,-51.3917392027,873.14
-24.937322242199997,-51.3917422201,872.39
-24.937255270799998,-51.3912941236,869.04
-24.9372444581,-51.391290519399995,869.04
-24.937212187800004,-51.391262859099996,873.28
-24.937205146999997,-51.3912561536,873.28
-24.937175055999997,-51.391236623699996,874.13
-24.9371304642,-51.3912092987,874.14
-24.9370145425,-51.3911278266,875.92
-24.936931142600002,-51.3910631184,875.89
-24.9368070066,-51.3909671456,876.67
-24.9367160629,-51.3909093942,878.44
-24.936662586399997,-51.390846027100004,879.25
-24.936629897,-51.39078115109999,880.73
-24.9365363549,-51.3907591067,880.75
-24.936418589200002,-51.3907114137,881.52
-24.936304763000003,-51.3906493876,882.4
-24.936278108499998,-51.3906393293,882.39
-24.936254723,-51.3906735275,882.37
-24.9362346064,-51.3907950651,882.38
-24.9361885898,-51.3909203745,882.35
-24.936163946999997,-51.3909922913,882.36
-24.9361025915,-51.3911460154,882.38
-24.936094041900002,-51.391152301800005,882.39
-24.9359334446,-51.391206532700004,882.4
-24.9358663056,-51.3913151622,882.39
-24.935743845999998,-51.39146586880001,882.37
-24.9357064627,-51.3915053476,879.96
-24.9356135912,-51.3916069362,878.99
-24.935613172100002,-51.3916064333,879.0
-24.935614178,-51.391604170200004,879.0
-24.9356151838,-51.391600733599994,879.06
-24.9356151,-51.39159654270001,879.06
-24.9356161896,-51.3915946148,875.6
